minute,idle_LL,idle_UL,idle_LR,idle_UR,coverage_healthy,outage
0,5,5,4,4,True,0
1,5,4,4,4,True,0
2,4,2,4,4,True,0
3,3,2,1,4,True,0
4,2,1,1,3,True,0
5,1,1,0,2,False,1
6,1,1,0,1,False,1
7,0,0,0,1,False,1
8,0,0,0,0,False,1
9,0,0,0,0,False,1
10,0,0,0,0,False,1
11,0,0,0,0,False,1
12,0,0,0,0,False,1
13,0,0,0,0,False,1
14,0,0,0,0,False,1
15,0,0,0,0,False,1
16,0,0,0,0,False,1
17,0,0,0,0,False,1
18,0,0,0,0,False,1
19,0,0,0,0,False,1
20,0,0,0,0,False,1
21,0,0,0,0,False,1
22,0,0,0,0,False,1
23,0,0,0,0,False,1
24,0,0,0,0,False,1
25,0,0,0,0,False,1
26,0,0,0,0,False,1
27,0,0,0,0,False,1
28,0,0,0,0,False,1
29,0,0,0,0,False,1
30,0,0,0,0,False,1
31,0,0,0,0,False,1
32,0,0,0,0,False,1
33,0,0,0,0,False,1
34,0,0,0,0,False,1
35,0,0,0,0,False,1
36,0,0,0,0,False,1
37,0,0,0,0,False,1
38,0,0,0,0,False,1
39,0,0,0,0,False,1
40,0,0,0,0,False,1
41,0,0,0,0,False,1
42,0,0,0,0,False,1
43,0,0,0,0,False,1
44,0,0,0,0,False,1
45,0,0,0,0,False,1
46,0,0,0,0,False,1
47,0,0,0,0,False,1
48,0,0,0,0,False,1
49,0,0,0,0,False,1
50,0,0,0,0,False,1
51,0,0,0,0,False,1
52,0,0,0,0,False,1
53,0,0,0,0,False,1
54,0,0,0,0,False,1
55,0,0,0,0,False,1
56,0,0,0,0,False,1
57,0,0,0,0,False,1
58,0,0,0,0,False,1
59,0,0,0,0,False,1
60,0,0,0,0,False,1
61,0,0,0,0,False,1
62,0,0,0,0,False,1
63,0,0,0,0,False,1
64,0,0,0,0,False,1
65,0,0,0,0,False,1
66,0,0,0,0,False,1
67,0,0,0,0,False,1
68,0,0,0,0,False,1
69,0,0,0,0,False,1
70,0,0,0,0,False,1
71,0,0,0,0,False,1
72,0,0,0,0,False,1
73,0,0,0,0,False,1
74,0,0,0,0,False,1
75,0,0,0,0,False,1
76,0,0,0,0,False,1
77,0,0,0,0,False,1
78,0,0,0,0,False,1
79,0,0,0,0,False,1
80,0,0,0,0,False,1
81,0,0,0,0,False,1
82,0,0,0,0,False,1
83,0,0,0,0,False,1
84,0,0,0,0,False,1
85,0,0,0,0,False,1
86,0,0,0,0,False,1
87,0,0,0,0,False,1
88,0,0,0,0,False,1
89,0,0,0,0,False,1
90,0,0,0,0,False,1
91,0,0,0,0,False,1
92,0,0,0,0,False,1
93,0,0,0,0,False,1
94,0,0,0,0,False,1
95,0,0,0,0,False,1
96,0,0,0,0,False,1
97,0,0,0,0,False,1
98,0,0,0,0,False,1
99,0,0,0,0,False,1
100,0,0,0,0,False,1
101,0,0,0,0,False,1
102,0,0,0,0,False,1
103,0,0,0,0,False,1
104,0,0,0,0,False,1
105,0,0,0,0,False,1
106,0,0,0,0,False,1
107,0,0,0,0,False,1
108,0,0,0,0,False,1
109,0,0,0,0,False,1
110,0,0,0,0,False,1
111,0,0,0,0,False,1
112,0,0,0,0,False,1
113,0,0,0,0,False,1
114,0,0,0,0,False,1
115,0,0,0,0,False,1
116,0,0,0,0,False,1
117,0,0,0,0,False,1
118,0,0,0,0,False,1
119,0,0,0,0,False,1
120,0,0,0,0,False,1
